lot_id,wafer_id,site_id,die_x,die_y,radius_norm,theta_deg,zone,thickness_nm,sheet_resistance_ohm_sq,synthetic_pattern_note
LOT-DEP-EDGE,WAFER-DEPO-002,X-12_Y+00,-12,0,1.0,180.0,edge,100.3957,50.5895,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-11_Y-04,-11,-4,0.97539,-160.017,edge,99.4601,51.7332,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-11_Y-03,-11,-3,0.95015,-164.745,edge,97.9544,51.9953,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-11_Y-02,-11,-2,0.93169,-169.695,edge,97.2653,52.645,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-11_Y-01,-11,-1,0.92045,-174.806,edge,96.7537,53.0715,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-11_Y+00,-11,0,0.91667,180.0,edge,97.0727,52.7783,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-11_Y+01,-11,1,0.92045,174.806,edge,96.8341,52.774,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-11_Y+02,-11,2,0.93169,169.695,edge,97.2724,52.5661,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-11_Y+03,-11,3,0.95015,164.745,edge,98.2101,52.1518,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-11_Y+04,-11,4,0.97539,160.017,edge,99.759,51.0421,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y-06,-10,-6,0.97183,-149.036,edge,99.3824,51.3784,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y-05,-10,-5,0.93169,-153.435,edge,97.3799,52.4347,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y-04,-10,-4,0.89753,-158.199,edge,96.749,52.8237,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y-03,-10,-3,0.87003,-163.301,edge,96.972,52.5566,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y-02,-10,-2,0.84984,-168.69,edge,98.0283,51.8643,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y-01,-10,-1,0.83749,-174.289,edge,98.807,51.7102,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y+00,-10,0,0.83333,180.0,edge,99.2678,51.4857,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y+01,-10,1,0.83749,174.289,edge,98.4879,51.8156,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y+02,-10,2,0.84984,168.69,edge,97.6058,51.9367,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y+03,-10,3,0.87003,163.301,edge,97.2622,52.5888,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y+04,-10,4,0.89753,158.199,edge,96.5069,52.7891,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y+05,-10,5,0.93169,153.435,edge,97.6828,52.4581,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-10_Y+06,-10,6,0.97183,149.036,edge,99.1363,51.362,deposition_edge_ring+center_anomaly
LOT-DEP-EDGE,WAFER-DEPO-002,X-09_Y-07,-9,-7,0.95015,-142.125,edge,98.6102,52.1324,deposition_edge_ring+center_anomaly
