lot_id,wafer_id,site_id,die_x,die_y,radius_norm,theta_deg,zone,thickness_nm,sheet_resistance_ohm_sq,synthetic_pattern_note
LOT-SYN-0623,WAFER-DEMO-001,X-12_Y+00,-12,0,1.0,180.0,edge,96.5646,56.2696,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-11_Y-04,-11,-4,0.97539,-160.017,edge,96.5949,56.345,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-11_Y-03,-11,-3,0.95015,-164.745,edge,96.5742,56.9699,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-11_Y-02,-11,-2,0.93169,-169.695,edge,95.1152,57.9046,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-11_Y-01,-11,-1,0.92045,-174.806,edge,94.0106,58.5265,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-11_Y+00,-11,0,0.91667,180.0,edge,93.3655,58.4702,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-11_Y+01,-11,1,0.92045,174.806,edge,93.628,58.2592,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-11_Y+02,-11,2,0.93169,169.695,edge,94.2703,57.9494,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-11_Y+03,-11,3,0.95015,164.745,edge,94.4938,57.5203,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-11_Y+04,-11,4,0.97539,160.017,edge,96.9012,55.9039,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-10_Y-06,-10,-6,0.97183,-149.036,edge,97.4372,56.1446,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-10_Y-05,-10,-5,0.93169,-153.435,edge,94.9387,57.7043,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-10_Y-04,-10,-4,0.89753,-158.199,edge,93.1563,58.88,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-10_Y-03,-10,-3,0.87003,-163.301,edge,93.9464,58.5997,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-10_Y-02,-10,-2,0.84984,-168.69,edge,94.0411,58.6938,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-10_Y-01,-10,-1,0.83749,-174.289,edge,94.5158,58.2735,edge_ring+center_anomaly+gradient+local_defect
LOT-SYN-0623,WAFER-DEMO-001,X-10_Y+00,-10,0,0.83333,180.0,edge,94.5359,57.9695,edge_ring+center_anomaly+gradient+local_defect
